symbol,exchange,timestamp,funding_rate
ZROUSDT,bitget,2025-06-22T16:00:00Z,-0.000025
ZROUSDT,gateio,2025-06-22T08:00:00Z,-0.000048
ZROUSDT,bitget,2025-06-22T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-22T00:00:00Z,-0.000484
ZROUSDT,bitget,2025-06-22T00:00:00Z,0.00002
ZROUSDT,gateio,2025-06-21T16:00:00Z,-0.000217
ZROUSDT,bitget,2025-06-21T16:00:00Z,-0.000415
ZROUSDT,gateio,2025-06-21T08:00:00Z,-0.000072
ZROUSDT,bitget,2025-06-21T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-21T00:00:00Z,-0.000086
ZROUSDT,bitget,2025-06-21T00:00:00Z,-0.000311
ZROUSDT,gateio,2025-06-20T16:00:00Z,-0.000099
ZROUSDT,bitget,2025-06-20T16:00:00Z,-0.000246
ZROUSDT,gateio,2025-06-20T08:00:00Z,-0.00023
ZROUSDT,bitget,2025-06-20T08:00:00Z,-0.000495
ZROUSDT,gateio,2025-06-20T00:00:00Z,-0.000429
ZROUSDT,bitget,2025-06-20T00:00:00Z,-0.000364
ZROUSDT,gateio,2025-06-19T16:00:00Z,-0.000052
ZROUSDT,bitget,2025-06-19T16:00:00Z,-0.000456
ZROUSDT,gateio,2025-06-19T08:00:00Z,-0.000357
ZROUSDT,bitget,2025-06-19T08:00:00Z,-0.000387
ZROUSDT,gateio,2025-06-19T00:00:00Z,-0.000206
ZROUSDT,bitget,2025-06-19T00:00:00Z,-0.0004
ZROUSDT,gateio,2025-06-18T16:00:00Z,-0.000116
ZROUSDT,bitget,2025-06-18T16:00:00Z,-0.000035
ZROUSDT,gateio,2025-06-18T08:00:00Z,-0.000262
ZROUSDT,bitget,2025-06-18T08:00:00Z,-0.000073
ZROUSDT,gateio,2025-06-18T00:00:00Z,-0.000025
ZROUSDT,bitget,2025-06-18T00:00:00Z,0.00005
ZROUSDT,gateio,2025-06-17T16:00:00Z,0.00005
ZROUSDT,bitget,2025-06-17T16:00:00Z,-0.00007
ZROUSDT,gateio,2025-06-17T08:00:00Z,0.000016
ZROUSDT,bitget,2025-06-17T08:00:00Z,-0.000227
ZROUSDT,gateio,2025-06-17T00:00:00Z,-0.000122
ZROUSDT,bitget,2025-06-17T00:00:00Z,-0.000391
ZROUSDT,gateio,2025-06-16T16:00:00Z,-0.000205
ZROUSDT,bitget,2025-06-16T16:00:00Z,-0.000177
ZROUSDT,gateio,2025-06-16T08:00:00Z,-0.000398
ZROUSDT,bitget,2025-06-16T08:00:00Z,-0.000198
ZROUSDT,gateio,2025-06-16T00:00:00Z,-0.000234
ZROUSDT,bitget,2025-06-16T00:00:00Z,0.000027
ZROUSDT,gateio,2025-06-15T16:00:00Z,-0.000551
ZROUSDT,bitget,2025-06-15T16:00:00Z,-0.000142
ZROUSDT,gateio,2025-06-15T08:00:00Z,-0.00025
ZROUSDT,bitget,2025-06-15T08:00:00Z,-0.00023
ZROUSDT,gateio,2025-06-15T00:00:00Z,-0.000125
ZROUSDT,bitget,2025-06-15T00:00:00Z,0.00005
ZROUSDT,gateio,2025-06-14T16:00:00Z,-0.00044
ZROUSDT,bitget,2025-06-14T16:00:00Z,0.000034
ZROUSDT,gateio,2025-06-14T08:00:00Z,-0.000566
ZROUSDT,bitget,2025-06-14T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-14T00:00:00Z,-0.000704
ZROUSDT,bitget,2025-06-14T00:00:00Z,0.000044
ZROUSDT,gateio,2025-06-13T16:00:00Z,-0.000865
ZROUSDT,bitget,2025-06-13T16:00:00Z,-0.000361
ZROUSDT,gateio,2025-06-13T08:00:00Z,-0.000304
ZROUSDT,bitget,2025-06-13T08:00:00Z,-0.000336
ZROUSDT,gateio,2025-06-13T00:00:00Z,-0.000137
ZROUSDT,bitget,2025-06-13T00:00:00Z,0.00005
ZROUSDT,gateio,2025-06-12T16:00:00Z,0.000015
ZROUSDT,bitget,2025-06-12T16:00:00Z,-0.000075
ZROUSDT,gateio,2025-06-12T08:00:00Z,-0.00016
ZROUSDT,bitget,2025-06-12T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-12T00:00:00Z,-0.000111
ZROUSDT,bitget,2025-06-12T00:00:00Z,0.00005
ZROUSDT,gateio,2025-06-11T16:00:00Z,0.00005
ZROUSDT,bitget,2025-06-11T16:00:00Z,0.00005
ZROUSDT,gateio,2025-06-11T08:00:00Z,-0.000277
ZROUSDT,bitget,2025-06-11T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-11T00:00:00Z,-0.00002
ZROUSDT,bitget,2025-06-11T00:00:00Z,0.00005
ZROUSDT,gateio,2025-06-10T16:00:00Z,0.00005
ZROUSDT,bitget,2025-06-10T16:00:00Z,0.00005
ZROUSDT,gateio,2025-06-10T08:00:00Z,0.00005
ZROUSDT,bitget,2025-06-10T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-10T00:00:00Z,0.00005
ZROUSDT,bitget,2025-06-10T00:00:00Z,-0.00013
ZROUSDT,gateio,2025-06-09T16:00:00Z,-0.00007
ZROUSDT,bitget,2025-06-09T16:00:00Z,-0.00036
ZROUSDT,gateio,2025-06-09T08:00:00Z,-0.000439
ZROUSDT,bitget,2025-06-09T08:00:00Z,-0.00021
ZROUSDT,gateio,2025-06-09T00:00:00Z,-0.000465
ZROUSDT,bitget,2025-06-09T00:00:00Z,-0.000342
ZROUSDT,gateio,2025-06-08T16:00:00Z,-0.000618
ZROUSDT,bitget,2025-06-08T16:00:00Z,-0.00031
ZROUSDT,bitget,2025-06-08T12:00:00Z,-0.00028
ZROUSDT,gateio,2025-06-08T08:00:00Z,0.00005
ZROUSDT,gateio,2025-06-08T00:00:00Z,-0.000191
ZROUSDT,gateio,2025-06-07T16:00:00Z,-0.000105
ZROUSDT,gateio,2025-06-07T08:00:00Z,-0.00016
ZROUSDT,gateio,2025-06-07T00:00:00Z,-0.000287
ZROUSDT,gateio,2025-06-06T16:00:00Z,-0.000404
ZROUSDT,gateio,2025-06-06T08:00:00Z,-0.000588
ZROUSDT,gateio,2025-06-06T00:00:00Z,-0.000153
ZROUSDT,gateio,2025-06-05T16:00:00Z,-0.000126
ZROUSDT,gateio,2025-06-05T08:00:00Z,-0.000074
ZROUSDT,gateio,2025-06-05T00:00:00Z,-0.000185
ZROUSDT,gateio,2025-06-04T16:00:00Z,-0.000014
ZROUSDT,gateio,2025-06-04T08:00:00Z,-0.000302
ZROUSDT,gateio,2025-06-04T00:00:00Z,-0.000153
ZROUSDT,gateio,2025-06-03T16:00:00Z,-0.000074
ZROUSDT,gateio,2025-06-03T08:00:00Z,-0.000465
ZROUSDT,gateio,2025-06-03T00:00:00Z,-0.000428
ZROUSDT,gateio,2025-06-02T16:00:00Z,-0.000407
ZROUSDT,gateio,2025-06-02T08:00:00Z,-0.000046
ZROUSDT,gateio,2025-06-02T00:00:00Z,-0.000252
ZROUSDT,gateio,2025-06-01T16:00:00Z,0.000003
ZROUSDT,gateio,2025-06-01T08:00:00Z,-0.000026
ZROUSDT,gateio,2025-06-01T00:00:00Z,-0.000371
ZROUSDT,gateio,2025-05-31T16:00:00Z,-0.000308
ZROUSDT,gateio,2025-05-31T08:00:00Z,-0.000175
ZROUSDT,gateio,2025-05-31T00:00:00Z,-0.000053
ZROUSDT,gateio,2025-05-30T16:00:00Z,-0.000041
ZROUSDT,gateio,2025-05-30T08:00:00Z,-0.000357
ZROUSDT,gateio,2025-05-30T00:00:00Z,-0.000298
ZROUSDT,gateio,2025-05-29T16:00:00Z,-0.000128
ZROUSDT,gateio,2025-05-29T08:00:00Z,-0.000156
ZROUSDT,gateio,2025-05-29T00:00:00Z,-0.000032
ZROUSDT,gateio,2025-05-28T16:00:00Z,-0.000039
ZROUSDT,gateio,2025-05-28T08:00:00Z,-0.000011
ZROUSDT,gateio,2025-05-28T00:00:00Z,-0.000212
ZROUSDT,gateio,2025-05-27T16:00:00Z,-0.000288
ZROUSDT,gateio,2025-05-27T08:00:00Z,0.000016
ZROUSDT,gateio,2025-05-27T00:00:00Z,-0.000142
ZROUSDT,gateio,2025-05-26T16:00:00Z,-0.000222
ZROUSDT,gateio,2025-05-26T08:00:00Z,-0.000096
ZROUSDT,gateio,2025-05-26T04:00:00Z,0.00005
ZRCUSDT,gateio,2025-06-25T00:00:00Z,-0.000233
ZRCUSDT,bitget,2025-06-25T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-24T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-24T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-24T08:00:00Z,-0.000083
ZRCUSDT,bitget,2025-06-24T08:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-24T00:00:00Z,-0.000297
ZRCUSDT,bitget,2025-06-24T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-23T16:00:00Z,-0.000079
ZRCUSDT,bitget,2025-06-23T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-23T08:00:00Z,-0.000482
ZRCUSDT,bitget,2025-06-23T08:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-23T00:00:00Z,-0.000723
ZRCUSDT,bitget,2025-06-23T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-22T16:00:00Z,-0.000058
ZRCUSDT,bitget,2025-06-22T16:00:00Z,-0.000104
ZRCUSDT,gateio,2025-06-22T08:00:00Z,0.000014
ZRCUSDT,bitget,2025-06-22T08:00:00Z,0.000022
ZRCUSDT,gateio,2025-06-22T00:00:00Z,-0.000392
ZRCUSDT,bitget,2025-06-22T00:00:00Z,-0.000677
ZRCUSDT,gateio,2025-06-21T16:00:00Z,-0.000226
ZRCUSDT,bitget,2025-06-21T16:00:00Z,-0.000072
ZRCUSDT,gateio,2025-06-21T08:00:00Z,-0.000253
ZRCUSDT,bitget,2025-06-21T08:00:00Z,-0.00095
ZRCUSDT,gateio,2025-06-21T00:00:00Z,-0.000295
ZRCUSDT,bitget,2025-06-21T00:00:00Z,-0.001435
ZRCUSDT,gateio,2025-06-20T16:00:00Z,-0.00042
ZRCUSDT,bitget,2025-06-20T16:00:00Z,-0.000201
ZRCUSDT,gateio,2025-06-20T08:00:00Z,-0.000263
ZRCUSDT,bitget,2025-06-20T08:00:00Z,0.000055
ZRCUSDT,gateio,2025-06-20T00:00:00Z,-0.000682
ZRCUSDT,bitget,2025-06-20T00:00:00Z,-0.000677
ZRCUSDT,gateio,2025-06-19T16:00:00Z,-0.001036
ZRCUSDT,bitget,2025-06-19T16:00:00Z,-0.002851
ZRCUSDT,gateio,2025-06-19T08:00:00Z,-0.00238
ZRCUSDT,bitget,2025-06-19T08:00:00Z,-0.003254
ZRCUSDT,gateio,2025-06-19T00:00:00Z,-0.000306
ZRCUSDT,bitget,2025-06-19T00:00:00Z,-0.001209
ZRCUSDT,gateio,2025-06-18T16:00:00Z,-0.002368
ZRCUSDT,bitget,2025-06-18T16:00:00Z,-0.003887
ZRCUSDT,gateio,2025-06-18T08:00:00Z,-0.000037
ZRCUSDT,bitget,2025-06-18T08:00:00Z,-0.000666
ZRCUSDT,gateio,2025-06-18T00:00:00Z,-0.000465
ZRCUSDT,bitget,2025-06-18T00:00:00Z,-0.001254
ZRCUSDT,gateio,2025-06-17T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-17T16:00:00Z,0.000079
ZRCUSDT,gateio,2025-06-17T08:00:00Z,-0.007825
ZRCUSDT,bitget,2025-06-17T08:00:00Z,-0.008351
ZRCUSDT,gateio,2025-06-17T00:00:00Z,-0.000668
ZRCUSDT,bitget,2025-06-17T00:00:00Z,-0.000615
ZRCUSDT,gateio,2025-06-16T16:00:00Z,-0.000571
ZRCUSDT,bitget,2025-06-16T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-16T08:00:00Z,-0.000924
ZRCUSDT,bitget,2025-06-16T08:00:00Z,-0.000334
ZRCUSDT,gateio,2025-06-16T00:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-16T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-15T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-15T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-15T08:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-15T08:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-15T00:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-15T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-14T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-14T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-14T08:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-14T08:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-14T00:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-14T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-13T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-13T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-13T08:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-13T08:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-13T00:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-13T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-12T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-12T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-12T08:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-12T08:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-12T00:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-12T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-11T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-11T16:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-11T08:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-11T08:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-11T00:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-11T00:00:00Z,0.0001
ZRCUSDT,gateio,2025-06-10T16:00:00Z,0.00005
ZRCUSDT,bitget,2025-06-10T16:00:00Z,0.0001
